system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80980222013117LGN01,0.920001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.367,1123.0,2013-04-27T00:16:46,117.01165057870371,297.0,"{blue=198.3354713820636, green=161.76629184086113, red=124.55008170329134, nir=30.974651726248112, swir1=0.46082622447342736, swir2=0.10760147665918927, tir1=7.03409875183592, tir2=6.503789582988247}",42.020755767822266,"{lake_TIR=7.03409875183592, lake_BT=7.413117790864373, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013133LGN01,0.770001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.4,1152.0,2013-05-13T00:16:58,133.0117845601852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.50863265991211,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013165LGN00,1.2100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.311,1152.0,2013-06-14T00:17:01,165.0118182523148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.00355529785156,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013197LGN00,1.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.33,1152.0,2013-07-16T00:17:00,197.01181489583334,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.19584274291992,"{lake_TIR=null, lake_BT=null, bkgd_BT=23.132904052734375, bkgd_TIR=9.05421907978598}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013213LGN00,2.4,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,1098.0,2013-08-01T00:17:02,213.0118300462963,5.0,"{blue=181.9369071662426, green=152.0283833052963, red=120.6305166810751, nir=33.13483570255339, swir1=1.266044399444945, swir2=0.3526969556696713, tir1=8.695689212461001, tir2=7.780047778366134}",38.42963409423828,"{lake_TIR=8.695689212461001, lake_BT=20.50223388671875, bkgd_BT=27.065800258091517, bkgd_TIR=9.610280303384311}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013229LGN00,3.580000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.293,1152.0,2013-08-17T00:17:02,229.0118346875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",42.74767303466797,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013245LGN00,1.05,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.323,1152.0,2013-09-02T00:17:04,245.0118570949074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",47.885807037353516,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013277LGN00,1.079998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,1152.0,2013-10-04T00:16:55,277.01174997685183,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.510169982910156,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013293LGN00,0.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.344,1152.0,2013-10-20T00:16:51,293.01170726851853,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",65.32108688354492,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
LC80980222013309LGN00,0.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.297,866.0,2013-11-05T00:16:46,309.01165349537035,115.0,"{blue=41.181914152261676, green=24.831262450001162, red=16.287667187465274, nir=5.152049113060955, swir1=0.3421873596355157, swir2=0.10773794879104294, tir1=9.102114313253727, tir2=7.96051002021312}",70.58967018127441,"{lake_TIR=9.102114313253727, lake_BT=23.42057601265285, bkgd_BT=-12.216641235351563, bkgd_TIR=4.919662542117294}","{blue=1152, green=1152, red=1152, nir=1152, swir1=1152, swir2=1152, tir1=1152, tir2=1152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.648842,54.122494],[159.647365,54.113309],[159.663344,54.11321600000001],[159.663576,54.122564000000004],[159.648842,54.122494]]]}"
