system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70980221999231EDC00,1.470001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.331,24566.0,1999-08-19T00:07:51,231.00546101851853,68.0,"{blue=48.449236421024096, green=29.546850085258484, red=15.898529866162468, nir=6.923795642221675, swir1=0.52207050428671, swir2=0.11544403839198981, tir1=7.14768416576964, tir2=7.155190446523621}",43.88374710083008,"{lake_TIR=7.14768416576964, lake_BT=9.116785834817325, bkgd_BT=12.751263966279872, bkgd_TIR=7.5776304403648655}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980221999311EDC00,0.5600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.343,26888.0,1999-11-07T00:07:56,311.0055104513889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",71.46599388122559,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980221999327EDC00,0.3100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.402,26884.0,1999-11-23T00:07:48,327.005426087963,5.0,"{blue=63.41937093734741, green=35.458109843730924, red=20.86078796386719, nir=8.462992012500763, swir1=0.16122842729091644, swir2=0.018740127980709075, tir1=4.535055151581764, tir2=4.531929141283035}",75.63030624389648,"{lake_TIR=4.628976412117481, lake_BT=-15.221405029296875, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000106EDC00,0.4,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.385,26967.0,2000-04-15T00:07:20,106.00509515046296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",46.778289794921875,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000122EDC01,0.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.373,26967.0,2000-05-01T00:07:19,122.00508530092593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.46273422241211,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000154EDC00,1.2100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.358,26105.0,2000-06-02T00:06:56,154.0048193287037,318.0,"{blue=77.77169915865052, green=53.488808591973104, red=32.65109278121084, nir=12.234464963652053, swir1=0.8151140188177427, swir2=0.22218772635426162, tir1=6.571534738741206, tir2=6.566910537440072}",34.71607208251953,"{lake_TIR=6.571534738741206, lake_BT=4.132307040616402, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000250EDC00,2.2399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,25446.0,2000-09-06T00:05:47,250.0040221412037,61.0,"{blue=35.80090407465325, green=23.025345079234388, red=11.19356560316242, nir=5.419394524371038, swir1=0.3677334086816819, swir2=0.0565928438159286, tir1=7.659971658445772, tir2=7.6676164532049755}",50.083736419677734,"{lake_TIR=7.659971658445772, lake_BT=13.437438464555584, bkgd_BT=20.798163936663904, bkgd_TIR=8.58267498954845}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000266EDC01,1.1899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.296,25740.0,2000-09-22T00:05:29,266.0038142592593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.79343795776367,"{lake_TIR=null, lake_BT=null, bkgd_BT=6.750707165948276, bkgd_TIR=6.865968011576554}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000282EDC00,1.3399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.315,26967.0,2000-10-08T00:05:25,282.00376457175923,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",61.669830322265625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222000346EDC00,0.3399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.436,26967.0,2000-12-11T00:05:24,346.00375113425923,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",78.73036003112793,"{lake_TIR=null, lake_BT=null, bkgd_BT=-17.271302354162458, bkgd_TIR=4.447658308175346}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001076EDC00,0.3,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.527,26967.0,2001-03-17T00:05:17,76.0036726736111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",58.277536392211914,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001108EDC00,0.5,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.471,26967.0,2001-04-18T00:05:08,108.00357616898148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.92732238769531,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001140EDC00,0.820001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.349,26834.0,2001-05-20T00:04:53,140.00339310185186,3.0,"{blue=180.69764018058777, green=178.65970885753632, red=136.52979310353598, nir=40.456692695617676, swir1=0.598792756597201, swir2=0.22066925466060638, tir1=6.082519729932149, tir2=6.077165336658557}",36.9113883972168,"{lake_TIR=6.082519729932149, lake_BT=-0.3790181477864583, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001220EDC00,2.0399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.299,25533.0,2001-08-08T00:04:02,220.0028039351852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.217491149902344,"{lake_TIR=null, lake_BT=null, bkgd_BT=21.12754692519371, bkgd_TIR=8.615679701346131}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001252EDC00,1.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,26926.0,2001-09-09T00:03:37,252.00251530092592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",51.165283203125,"{lake_TIR=null, lake_BT=null, bkgd_BT=5.775119405397227, bkgd_TIR=6.7560827270294475}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001268EDC00,1.0899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,25238.0,2001-09-25T00:03:29,268.0024227083333,692.0,"{blue=32.013410171676924, green=19.62394958458884, red=10.034673304916117, nir=4.239441697135826, swir1=0.2729663836602875, swir2=0.05459409329846415, tir1=6.647100772740955, tir2=6.637458441208381}",56.91062927246094,"{lake_TIR=6.647100772740955, lake_BT=4.734233922351992, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001316EDC00,0.929998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.311,26967.0,2001-11-12T00:03:30,316.0024307523148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",73.18470191955566,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222001364EDC00,0.1600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.468,26967.0,2001-12-30T00:03:38,364.0025304513889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",79.33850860595703,"{lake_TIR=null, lake_BT=null, bkgd_BT=-33.00932471233865, bkgd_TIR=3.196823029414467}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222002015EDC00,0.220001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.437,26920.0,2002-01-15T00:03:47,15.002635127314814,5.0,"{blue=60.30441026687622, green=32.4225980758667, red=19.120158004760743, nir=7.823228240013123, swir1=0.11074023544788361, swir2=0.0011810734868049622, tir1=3.9715275883674623, tir2=3.944094505161047}",77.70629215240479,"{lake_TIR=3.9715275883674623, lake_BT=-22.874615478515626, bkgd_BT=-23.091771443684895, bkgd_TIR=3.953637824455897}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222002063EDC00,0.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.576,26967.0,2002-03-04T00:03:58,63.00276138888889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",63.595211029052734,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
LE70980222002079EDC00,0.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.492,26907.0,2002-03-20T00:03:46,79.00262481481481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",57.25463104248047,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=26967, green=26967, red=26967, nir=26967, swir1=26967, swir2=26967, tir1=26967, tir2=26967}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[159.940757,54.511559999999996],[159.939115,54.47247],[160.025219,54.473162],[160.025076,54.513107000000005],[159.940757,54.511559999999996]]]}"
